id,recencia,frecuencia,n_compras,tasa_compra,valor_monetario,dias_entre_visitas_median,dias_entre_visitas_std,switching_ratio,marcas_distintas,marca_favorita,precio_prom_marca_1,exposicion_promo_1,precio_prom_marca_2,exposicion_promo_2,precio_prom_marca_3,exposicion_promo_3,precio_prom_marca_4,exposicion_promo_4,precio_prom_marca_5,exposicion_promo_5,compra_con_promo_1,compra_con_promo_2,compra_con_promo_3,compra_con_promo_4,compra_con_promo_5,precio_relativo_favorita,genero,estado_civil,edad,nivel_educacion,ingreso_anual,ocupacion,comprador_activo
200000001,727,101,9,0.0891089108910891,33.96,7.0,4.659344905616555,0.8888888888888888,4,2,1.395148514851485,0.39603960396039606,1.779207920792079,0.3564356435643564,2.008118811881188,0.0594059405940594,2.151188118811881,0.1485148514851485,2.6551485148514855,0.04950495049504951,0.0,0.25,0.0,0.5,0.5,0.998994381299551,0,0,47,1,110866,1,0
200000002,729,87,11,0.12643678160919541,41.739999999999995,7.0,4.849203468798328,0.8181818181818182,2,4,1.3936781609195403,0.22988505747126436,1.7885057471264367,0.2988505747126437,2.007011494252873,0.022988505747126436,2.1564367816091954,0.16091954022988506,2.650344827586207,0.034482758620689655,0.0,0.0,0.0,0.3,0.0,0.998375640801347,1,1,52,2,159052,2,0
200000003,724,97,10,0.10309278350515463,32.27,7.0,4.345584066289936,0.5,2,2,1.3987628865979382,0.28865979381443296,1.758144329896907,0.28865979381443296,2.0056701030927835,0.020618556701030927,2.1654639175257735,0.12371134020618557,2.6571134020618556,0.020618556701030927,0.0,0.375,0.0,0.0,0.0,0.9871675404293162,0,0,28,0,113212,1,0
200000004,725,85,11,0.12941176470588237,32.96,7.0,4.417974941277461,0.8181818181818182,2,5,1.401058823529412,0.32941176470588235,1.7871764705882351,0.3058823529411765,2.011764705882353,0.03529411764705882,2.1558823529411764,0.1411764705882353,2.6538823529411766,0.03529411764705882,0.0,1.0,0.0,0.0,0.0,0.9996552192620088,0,0,37,1,119602,0,0
200000005,729,111,13,0.11711711711711711,54.97,7.0,2.9693457492319872,0.9230769230769231,1,5,1.3923423423423424,0.22522522522522523,1.7916216216216216,0.22522522522522523,2.005855855855856,0.018018018018018018,2.162882882882883,0.11711711711711711,2.6614414414414416,0.018018018018018018,0.0,0.0,0.0,0.0,0.07692307692307693,1.0025025505552663,0,0,49,1,121466,1,0
200000006,727,86,10,0.11627906976744186,40.86,7.0,4.167266063329414,1.0,3,5,1.391627906976744,0.3953488372093023,1.7808139534883722,0.36046511627906974,2.0098837209302327,0.023255813953488372,2.1611627906976745,0.10465116279069768,2.6590697674418604,0.05813953488372093,1.0,1.0,0.0,0.0,0.125,1.0016091966017868,0,0,39,1,112347,1,0
200000007,721,83,16,0.1927710843373494,55.34,7.0,5.115645449496116,0.875,5,2,1.3865060240963856,0.3855421686746988,1.7738554216867468,0.40963855421686746,2.0077108433734936,0.060240963855421686,2.1602409638554216,0.10843373493975904,2.6543373493975904,0.04819277108433735,1.0,0.5,0.0,0.0,0.0,0.9959890459086445,0,0,27,0,125190,2,0
200000008,729,97,15,0.15463917525773196,61.04,7.0,3.0949166017729497,1.0,2,2,1.4000000000000001,0.25773195876288657,1.7723711340206185,0.26804123711340205,2.011340206185567,0.041237113402061855,2.1628865979381446,0.10309278350515463,2.6628865979381446,0.030927835051546393,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.9951556441339748,0,0,26,0,131122,1,0
200000009,723,102,9,0.08823529411764706,17.75,7.0,3.7931151804654215,1.0,2,2,1.386078431372549,0.37254901960784315,1.7779411764705881,0.3235294117647059,2.0091176470588237,0.06862745098039216,2.17,0.09803921568627451,2.6637254901960783,0.0392156862745098,1.0,0.375,0.0,0.0,0.0,0.998283126338889,0,0,25,0,108960,0,0
200000010,730,98,15,0.15306122448979592,78.8,7.0,4.05204012932029,0.8666666666666667,2,2,1.3951020408163266,0.30612244897959184,1.802142857142857,0.32653061224489793,2.009591836734694,0.02040816326530612,2.161122448979592,0.11224489795918367,2.6614285714285715,0.04081632653061224,0.5,0.36363636363636365,0.0,0.0,0.0,1.011871950178454,0,0,32,0,69370,0,0
